,Topic_0,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
1002,0.04983218130979644,4.534301035648213e-05,4.611944164189359e-05,5.941697395086304e-05,0.012092076261597529,0.061591259425020486
1003,6.482666226207205e-05,4.53420052234495e-05,4.612035428813786e-05,5.941800130141017e-05,3.5018851839000585e-05,0.07776097080744404
1005,6.48242393036864e-05,4.5341319728462996e-05,0.010529945625009944,0.06209687766051881,3.501875200926148e-05,4.196252635637692e-05
1006,0.08861776326453219,0.08383076837497859,4.611836783603187e-05,5.941804444543389e-05,3.5017799519097595e-05,4.196149199824672e-05
1007,0.016074976444705597,0.01759237335469609,4.612027106722051e-05,0.0525953376241918,3.501879823219675e-05,4.1962614105497746e-05
1008,6.482596543357707e-05,4.5340490980177036e-05,0.05686499479044095,5.941742221023134e-05,3.501758236613064e-05,4.196205392263701e-05
1009,0.05167584654265049,0.04015498408200539,0.006447125170587674,5.941816631608932e-05,3.5018115717599994e-05,4.1962117418588615e-05
1010,6.482698528017131e-05,4.534233191603337e-05,0.06082530821773088,0.019382435889461404,0.005448427132841795,4.196324260235116e-05
1011,6.482551593622573e-05,4.534342601677623e-05,0.02147409891872046,0.03708427252853294,3.501808164280437e-05,4.196148897422887e-05
1012,0.07099730197566714,4.534118867799666e-05,4.6118516535605624e-05,5.9415510322056666e-05,0.04486081644667081,4.1962813004197875e-05
1013,6.482319183480129e-05,4.534199530464597e-05,4.611925938891046e-05,0.08280531323594484,3.501859423911108e-05,4.196159395924243e-05
1014,0.05880004984647625,4.534174431584185e-05,4.6117887281763727e-05,5.941499021055133e-05,0.06247613299922956,4.1962380254613064e-05
1015,0.050196041509915856,0.02401506222895557,0.030460209952853954,5.9417109146796273e-05,3.501837865454978e-05,4.196209425528783e-05
1016,0.010442707789974371,0.036625552463368634,4.6118987701192123e-05,0.05787057829389619,3.501881699935874e-05,4.1962039986081756e-05
1017,6.482404280563298e-05,4.534369709157016e-05,4.611987443727441e-05,0.04763109429293793,3.501857091434419e-05,0.0378077626637491
1018,0.056726962818756534,4.534304367545589e-05,4.612005956011631e-05,5.9417976047635825e-05,3.5019712194446644e-05,0.07167060811130473
1019,0.06754802557969859,4.534172841440687e-05,4.6119230393094776e-05,5.9417544350966853e-05,0.029394323967878125,0.035701415663314535
1020,0.05473206855621444,4.534175340707361e-05,4.6119543368050265e-05,5.941751505919741e-05,3.501983257304327e-05,0.07271022884862094
