,AD,DLB,PD,SVAD
ctx_lh_caudalanteriorcingulate,0.011865249920931638,0.014354985285501864,0.013566923459326528,0.015192709309961184
ctx_lh_caudalmiddlefrontal,0.010658200313804125,0.012213466226734266,0.01329496367727006,0.013043255672179248
ctx_lh_cuneus,0.00902681617209917,0.01103474830921445,0.011581370727401072,0.008639652519118284
ctx_lh_entorhinal,0.031980709857673886,0.026829727137542114,0.02394235470189011,0.028406725266161403
ctx_lh_fusiform,0.025015099740862155,0.02307616301504638,0.024539724328166496,0.025626723275176486
ctx_lh_inferiorparietal,0.022452773641934418,0.017876538190757393,0.016613714599789102,0.016819529522188063
ctx_lh_inferiortemporal,0.02666406765159004,0.019621052305121508,0.01768064880866968,0.019190036884901902
ctx_lh_isthmuscingulate,0.023446189903656593,0.020366040702549406,0.018531444798656316,0.020976076437282387
ctx_lh_lateraloccipital,0.01826290151454967,0.01744431053401852,0.01957327440871316,0.01968066042817427
ctx_lh_lateralorbitofrontal,0.018642685345624445,0.020964275233154327,0.021649926796444785,0.022571017800658563
ctx_lh_lingual,0.013456740927891784,0.012854277484856532,0.014420893642057769,0.01450010670206114
ctx_lh_medialorbitofrontal,0.01846549354453812,0.02076509462882174,0.019435478752311042,0.021979452073151686
ctx_lh_middletemporal,0.027110971049528185,0.019949616292996433,0.017976606921423874,0.019511345327454886
ctx_lh_parahippocampal,0.01652250080070109,0.013866409924796982,0.012377668211869865,0.014679902635704468
ctx_lh_paracentral,0.011214861948213401,0.013713285668516869,0.01439339932666902,0.010733045791849657
ctx_lh_parsopercularis,0.014392695301217439,0.016496532656689163,0.01795938579941634,0.017618660423801554
ctx_lh_parsorbitalis,0.012789529126962237,0.01511538414745387,0.015210375177529706,0.016059715378639098
ctx_lh_parstriangularis,0.011268571433480151,0.01291349677343699,0.014057323615030136,0.013791066646074771
ctx_lh_pericalcarine,0.010717294654723446,0.01307605962292816,0.013451353967732338,0.010955496530022774
ctx_lh_postcentral,0.010959743777378898,0.013400977654331923,0.014065526650061472,0.010488963647215842
ctx_lh_posteriorcingulate,0.015869312090829812,0.015142555584529429,0.014034465118163607,0.015520258403890284
ctx_lh_precentral,0.009202742082344777,0.011090664233417213,0.0117328403655454,0.009361843854547214
ctx_lh_precuneus,0.01821493932863323,0.018554037880322425,0.018639668240558405,0.015617203894128349
ctx_lh_rostralanteriorcingulate,0.01387394750626466,0.01678766604185291,0.015865416332909395,0.017767894726923483
ctx_lh_rostralmiddlefrontal,0.015857039439218835,0.018175979094076315,0.019788366989862624,0.01941273673855096
ctx_lh_superiorfrontal,0.013881019554906485,0.015909695562774953,0.017320298066195734,0.01699176917036677
ctx_lh_superiorparietal,0.010950862888687346,0.013390105757207197,0.01405411293696829,0.010480466680203726
ctx_lh_superiortemporal,0.02361941811954958,0.020055136231095356,0.018213026187188744,0.02055534737955124
ctx_lh_supramarginal,0.019064086897045224,0.016754554230458907,0.016114156090775433,0.01504908001424755
ctx_lh_transversetemporal,0.010648723681141913,0.010645489952058898,0.01035803058718863,0.009767985845957663
ctx_lh_insula,0.02128914336076384,0.02215251005261521,0.020688127725224974,0.02299644839028611
